# Large batch test — 500 active LOINC codes sampled across clinical domains
# Source: LOINC 2.82, ACTIVE status only
# Classes represented: chemistry, microbiology, hematology, drug/tox,
#   serology, allergy, radiology, H&P, panels, coagulation, urinalysis,
#   cardiology, respiratory, vital signs, pathology, and more

39129-2  # Moisture of Skin
4536-9  # Deoxyhemoglobin/Hemoglobin.total in Blood
83164-4  # Additional feet past last 10 foot mark [NIH Toolbox] --2M post trial start
4518-7  # Complement factor D [Mass/volume] in Serum or Plasma
9196-7  # Type of Urine tube
82773-3  # Lab result time reported
65991-2  # Hallucination notes [Text] [DI-PAD]
38579-9  # Chlordane [Mass/volume] in Air
21909-7  # Descriptor.clinical Cancer Narrative
29543-6  # Beta-N-acetylhexosaminidase.A/Beta-n-acetylhexosaminidase.total in Amniotic fluid cells
26741-9  # Serine [Moles/volume] in Urine
24267-7  # Coxsackievirus B5 Ab [Titer] in Serum --1st specimen
12852-0  # Bovine inner ear Ag [Presence] in Serum or Plasma by Immunoblot
42135-4  # US Guidance for superficial biopsy of Bone
24276-8  # Saint Louis encephalitis virus Ab [Titer] in Serum --2nd specimen
9281-7  # Respiratory rate 8 hour maximum
9382-3  # Coproporphyrin [Mass/time] in unspecified time Stool
33895-4  # Prothrombin time (PT) factor substitution 2 hours post incubation in Platelet poor plasma by Coagulation assay
9067-0  # Fat intake Measured
73378-2  # Finasteride induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
101693-0  # Duration of light heart rate zone
7451-8  # Latex ALK triggered histamine release [Units/volume] in Blood
9279-1  # Respiratory rate
8462-4  # Diastolic blood pressure
10325-9  # Breath rate device Vendor model number
94586-5  # Dermatan sulfate and heparan sulfate and keratan sulfate panel - DBS
61351-3  # Lymphocyte proliferation stimulated by 0.6 ug pokeweed mitogen in Blood
92205-4  # When I'm upset with someone, a cigarette helps me cope [PROMIS]
100940-6  # Neighbor relationships panel [R-Outcomes]
39578-0  # Alternaria alternata Ab [Mass/volume] in Serum
59068-7  # RPS19 gene targeted mutation analysis [Presence] in Blood or Tissue by Molecular genetics method
34635-3  # Citalopram [Mass/volume] in Serum or Plasma
15179-5  # Fibrin D-dimer [Presence] in Platelet poor plasma
44884-5  # Malignant cells [#/volume] in Pleural fluid by Manual count
74835-0  # Porphyrin fractions panel - Stool
33688-3  # Yersinia pestis Ag [Presence] in Isolate by Immunofluorescence
83579-3  # Hematology+Medical oncology Nurse Note
9304-7  # Respiration rhythm
38887-6  # Person present --at time of event
55262-0  # Influenza virus immunization status
1733-5  # Adipate [Mass/volume] in Urine
107484-8  # Epithelial cells [Presence] in Pericardial fluid by Light microscopy
71810-6  # I have difficulty sleeping since I took my last screen [M3]
42742-7  # Phosphatidylcholine IgG Ab B2GP1 independent [Multiple of the median] in Serum
3558-4  # Dicoumarol [Mass/volume] in Serum or Plasma
83728-6  # Physical medicine and rehab procedure note
87051-9  # Guidance for dilation of stricture of Biliary ducts
88104-5  # Rhythmic or arrhythmic heart rate
28068-5  # Beta aminobutyrate [Moles/volume] in Amniotic fluid
11285-4  # Acuity assessment practitioner profession
74352-6  # Cryoglobulin and cryofibrinogen panel - Serum and Plasma
76500-8  # Within the last year, have you been humiliated or emotionally abused in other ways by your partner or ex-partner
8885-6  # Heart rate measurement site
5974-1  # Plasminogen activator inhibitor 1 [Units/volume] in Platelet poor plasma by Chromogenic method
100613-9  # Pediatric cardiology Hospital Progress note
8479-8  # Systolic blood pressure by palpation
5792-7  # Glucose [Mass/volume] in Urine by Test strip
105097-0  # Urate crystals amorphous [Presence] in Urine sediment
79668-0  # Purine and Pyrimidine panel - Cerebral spinal fluid
50491-0  # Gastrin [Mass/volume] in Serum or Plasma --7th specimen
7709-9  # Sole IgE Ab [Units/volume] in Serum
26256-8  # MR Knee - bilateral
30315-6  # Acid alpha glucosidase [Enzymatic activity/mass] in Small intestine Tissue
96702-6  # Clot initiation.kaolin induced [Time] in Blood by US
90958-0  # PROMIS pediatric short form - pain interference 8a - version 2.0 raw score
51017-2  # CD1 blasts [Units/volume] in Specimen
53595-5  # Homovanillate [Mass/volume] in 24 hour Urine
38883-5  # Reintubated urgency
85695-5  # Prior condition onset year [Date]
10628-6  # Spermatozoa Tail Swelling/Spermatozoa in Semen
68934-9  # Heat shock protein 60 Ab [Units/volume] in Serum or Plasma by Immunoassay
20686-2  # Anaplasma marginale Ab [Presence] in Serum by Complement fixation
82772-5  # Lab result date reported
53486-7  # Glucose [Moles/volume] in Serum or Plasma --1 hour post dose betaxolol
46702-7  # Leukocytes [#/area] in Urine sediment by Automated count
39099-7  # XR Ribs - bilateral 4 Views and Chest PA
35866-3  # Organic acids panel - Serum or Plasma
85117-0  # Sadness Survey version 2.0 - parent report - ages 3-7 - T-score [NIH Toolbox]
80660-4  # Strongyloides sp IgG Ab [Presence] in Serum by Immunoassay
86782-0  # Number of days of training and skill practice in amputation or prosthesis care in last 7 calendar days [CMS Assessment]
29158-3  # Opiates [Mass/mass] in Meconium
33091-0  # Gestational age estimated from Crown rump length on US by Daya 1993 method
31625-7  # Sjogrens syndrome-A extractable nuclear IgG Ab [Presence] in Serum
14828-8  # Mesothelial cells/Leukocytes in Pericardial fluid by Manual count
71653-0  # Promyelocytes/Leukocytes [Pure number fraction] in Cerebral spinal fluid by Manual count
11596-4  # Shigella dysenteriae Ab [Units/volume] in Serum
25146-2  # Bilirubin crystals [#/area] in Urine sediment by Microscopy high power field
105165-5  # MR Guidance for biopsy of Breast
23-2  # Amphotericin B [Susceptibility] by Minimum lethal concentration (MLC)
69931-4  # Food Allergen Mix 13 (Carrot+White bean+Peas+Potato) IgE Ab [Units/volume] in Serum by Multidisk
92542-0  # Fy sup(b) Ag inferred phenotype [Presence] in Blood or Tissue from Donor by Molecular genetics method
393-9  # Penicillin G [Susceptibility] by Disk diffusion (KB)
31385-8  # Feline coronavirus Ab [Units/volume] in Serum
76478-7  # Acetylcholinesterase panel - Amniotic fluid
100400-1  # Quail meat IgG Ab [Units/volume] in Serum
14251-3  # Mitochondria M2 IgG Ab [Units/volume] in Serum
45372-0  # Blood pressure systolic and diastolic--post phlebotomy
5983-2  # Plasminogen activator tissue type-Plasminogen activator inhibitor 1 complex [Mass/volume] in Platelet poor plasma by Immunoassay --10 minutes post venistasis
51479-4  # Spermatozoa [#/volume] in Urine by Automated count
38368-7  # Pigeon droppings IgG Ab [Mass/volume] in Serum
8888-0  # Heart rate measure duration
73029-1  # Clopidogrel induced neutrophil IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
7765-1  # English Walnut IgE Ab [Units/volume] in Serum
73852-6  # 7-Dehydrocholesterol and 8-Dehydrocholesterol panel - Serum or Plasma
55173-9  # ED disposition and diagnosis data Set DEEDS
80535-8  # Methylenedioxyethylamphetamine [Mass/mass] in Hair
78993-3  # Prolactin isoforms panel - Serum or Plasma
40218-0  # Glucose [Moles/volume] in Serum or Plasma --29 hours post XXX challenge
50580-0  # Maternal screen for fetal abnormalities such as Open Neural Tube Defects, Trisomy 21 or Trisomy 18 panel - Serum or Plasma
3224-3  # Coagulation factor XI inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay
84674-1  # Can pronounce joist [NIH Toolbox]
41904-4  # Blood pressure measurement site
51793-8  # Xylose [Mass/volume] in Serum or Plasma --1 hour post 5 g xylose PO
16671-0  # Cortisol [Mass/volume] in Serum or Plasma --1 minute post XXX challenge
36062-8  # CT Shoulder
38878-5  # Ventilator mode change reason
38886-8  # Endotracheal tube secure method
99899-7  # Calcium oxalate dihydrate crystals [#/volume] in Urine sediment by Computer assisted method
93270-7  # Preparatory acts or suicidal behaviors # 3 months
103810-8  # Pulse pressure by Invasive
57845-0  # Leukocytes [#/volume] in Body fluid by Automated count
106432-8  # cefTAZidime+cloxacillin [Susceptibility] by Disk diffusion (KB)
12241-6  # Osmotic fragility of Red Blood Cells by Diluted RBC
73279-2  # Methylphenidate induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
33238-7  # Triple phosphate crystals [Presence] in Urine by Computer assisted method
93730-0  # Testosterone [Moles/volume] in Amniotic fluid
15362-7  # aPTT.inhibitor sensitive in Platelet poor plasma by Coagulation assay
34928-2  # Urobilinogen [Moles/volume] in Urine by Test strip
106685-1  # Symptom Impact Screening during assessment period [CMS Assessment]
66127-2  # Amphetamine [Presence] in Serum or Plasma by Confirmatory method
73133-1  # Tacrolimus induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
101455-4  # Mitochondrial metabolites panel - Serum or Plasma
961-3  # C sup(x) Ab [Presence] in Serum or Plasma from Blood product unit
26522-3  # Granulocytes/Leukocytes in Synovial fluid
